"","Latitude","Longitude","Timestamp","Twitter Id","TWEET","favourite_cnt","is_retweeted","is_retweet","Hashtags","Polarity_val"
"3405",-999.99,-999.99,"Tue Nov 04 21:52:53 IST 2014","IrgyPrllyDmrs","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3406",-999.99,-999.99,"Tue Nov 04 21:52:51 IST 2014","hi_susyy","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3407",-999.99,-999.99,"Tue Nov 04 21:52:51 IST 2014","Jennyx165","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3408",-999.99,-999.99,"Tue Nov 04 21:52:51 IST 2014","shashylerman","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3409",-999.99,-999.99,"Tue Nov 04 21:52:50 IST 2014","boylieber_emree","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3410",-999.99,-999.99,"Tue Nov 04 21:52:47 IST 2014","HORANCADELONA","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3411",-999.99,-999.99,"Tue Nov 04 21:52:44 IST 2014","estermazzoni","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3412",-999.99,-999.99,"Tue Nov 04 21:52:44 IST 2014","paolaveraz","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3413",-999.99,-999.99,"Tue Nov 04 21:52:41 IST 2014","monikelorenaa","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3414",-999.99,-999.99,"Tue Nov 04 21:52:38 IST 2014","MajkaSabrina","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3415",-999.99,-999.99,"Tue Nov 04 21:52:37 IST 2014","VampsJustinAri","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3416",-999.99,-999.99,"Tue Nov 04 21:52:37 IST 2014","cuddlemahone100","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3417",-999.99,-999.99,"Tue Nov 04 21:52:36 IST 2014","XOmarcellabella","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3418",-999.99,-999.99,"Tue Nov 04 21:52:35 IST 2014","Amelia_Clrd","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3419",-999.99,-999.99,"Tue Nov 04 21:52:33 IST 2014","xojessicaarosee","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3420",-999.99,-999.99,"Tue Nov 04 21:52:33 IST 2014","SCresciullo","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3421",-999.99,-999.99,"Tue Nov 04 21:52:30 IST 2014","hijustin","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3422",-999.99,-999.99,"Tue Nov 04 21:52:29 IST 2014","xo_faatimahhxo","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3423",-999.99,-999.99,"Tue Nov 04 21:52:29 IST 2014","LeHafAmanda","@CodySimpson @RooseveltField @Macys @raggedmag do this in LA ??",0,FALSE,FALSE,"[]",0
"3424",-999.99,-999.99,"Tue Nov 04 21:52:28 IST 2014","xsmilecalum","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3425",-999.99,-999.99,"Tue Nov 04 21:52:28 IST 2014","JadaPoepping328","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3426",-999.99,-999.99,"Tue Nov 04 21:52:27 IST 2014","Kidrauhl626","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3427",-999.99,-999.99,"Tue Nov 04 21:52:27 IST 2014","maevesykes13","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3428",-999.99,-999.99,"Tue Nov 04 21:52:24 IST 2014","drewlacratudo","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3429",-999.99,-999.99,"Tue Nov 04 21:52:23 IST 2014","SunofArianax1D","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3430",-999.99,-999.99,"Tue Nov 04 21:52:19 IST 2014","Justin_Ariana1","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3431",-999.99,-999.99,"Tue Nov 04 21:52:19 IST 2014","druzymermaid","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3432",-999.99,-999.99,"Tue Nov 04 21:52:16 IST 2014","wilkftbae","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3433",-999.99,-999.99,"Tue Nov 04 21:52:15 IST 2014","letsnotjudgeyah","@CodySimpson @RooseveltField @Macys @raggedmag about how long will the event last because i wouldnt be able to go before 5pm :(",0,FALSE,FALSE,"[]",0
"3434",-999.99,-999.99,"Tue Nov 04 21:52:15 IST 2014","Kidrauhl626","@CodySimpson @RooseveltField @Macys @raggedmag I love you so mucy Cody",0,FALSE,FALSE,"[]",0
"3435",-999.99,-999.99,"Tue Nov 04 21:52:14 IST 2014","ShawnTesudo69","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3436",-999.99,-999.99,"Tue Nov 04 21:52:14 IST 2014","KevinDel98","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3437",-999.99,-999.99,"Tue Nov 04 21:52:12 IST 2014","anaiis1909","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3438",-999.99,-999.99,"Tue Nov 04 21:52:09 IST 2014","__hannahk","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3439",-999.99,-999.99,"Tue Nov 04 21:52:08 IST 2014","VivviOne","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3440",-999.99,-999.99,"Tue Nov 04 21:52:07 IST 2014","MaddyCarter02","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
"3441",-999.99,-999.99,"Tue Nov 04 21:52:07 IST 2014","StacksJunior","RT @CodySimpson: NYC! Get down this Sat 2pm/Nov 8th @RooseveltField @Macys @raggedmag for a personal acoustic performance from myself. http<c9>",0,FALSE,TRUE,"[]",0
